t,s
0.0,0.0
1e-05,9.991682600056776e-07
2e-05,1.4130373043927561e-06
3e-05,1.7306101916400238e-06
4e-05,1.9983365200113552e-06
5e-05,2.2342081503328796e-06
6e-05,2.447452404198423e-06
7e-05,2.6435507338841473e-06
8e-05,2.8260746087855122e-06
9e-05,2.9975047800170326e-06
0.0001,3.159647467365265e-06
0.00011,3.3138662208711e-06
0.00012,3.4612203832800477e-06
0.00013,3.6025523942666057e-06
0.00014,3.7385453006803096e-06
0.00015,3.869762031061032e-06
0.00016,3.9966730400227105e-06
0.00017,4.119676273768019e-06
0.00018,4.239111913178268e-06
0.00019,4.355273472958121e-06
0.0002,4.468416300665759e-06
0.00021,4.578764183473335e-06
0.00022,4.6865145534459846e-06
0.00023,4.791842638428748e-06
0.00024,4.894904808396846e-06
0.00025,4.995841300028388e-06
0.00026,5.0947784551314995e-06
0.00027,5.191830574920072e-06
0.00028,5.2871014677682945e-06
0.00029,5.380685750188393e-06
0.0003,5.472669947482965e-06
0.00031,5.563133430530493e-06
0.00032,5.6521492175710245e-06
0.00033,5.739784664035013e-06
0.00034,5.826102058949388e-06
0.00035,5.91115914293441e-06
0.00036,5.995009560034065e-06
0.00037,6.077703253425805e-06
0.00038,6.1592868133011464e-06
0.00039,6.239803783798667e-06
0.0004,6.31929493473053e-06
0.00041,6.397798502915961e-06
0.00042,6.475350407176162e-06
0.00043,6.551984440421028e-06
0.00044,6.6277324417422e-06
0.00045,6.702624450998639e-06
0.00046,6.776688848023611e-06
0.00047,6.849952478282631e-06
0.00048,6.922440766560095e-06
0.00049,6.994177820039744e-06
0.0005,7.065186521963781e-06
0.00051,7.135488616902241e-06
0.00052,7.205104788533211e-06
0.00053,7.274054730722542e-06
0.00054,7.342357212595268e-06
0.00055,7.410030138208113e-06
0.00056,7.477090601360619e-06
0.00057,7.543554936020424e-06
0.00058,7.6094387627840765e-06
0.00059,7.674757031747886e-06
0.0006,7.739524062122064e-06
0.00061,7.80375357888556e-06
0.00062,7.867458746747386e-06
0.00063,7.930652201652441e-06
0.00064,7.993346080045421e-06
0.00065,8.055552046084755e-06
0.00066,8.117281316979415e-06
0.00067,8.178544686604446e-06
0.00068,8.239352547536037e-06
0.00069,8.299714911633493e-06
0.0007,8.359641429283563e-06
0.00071,8.419141407411857e-06
0.00072,8.478223826356537e-06
0.00073,8.536897355690911e-06
0.00074,8.595170369073858e-06
0.00075,8.653050958200118e-06
0.00076,8.710546945916243e-06
0.00077,8.767665898562373e-06
0.00078,8.824415137595031e-06
0.00079,8.880801750541394e-06
0.0008,8.936832601331518e-06
0.00081,8.992514340051098e-06
0.00082,9.047853412154037e-06
0.00083,9.102856067170907e-06
0.00084,9.15752836694667e-06
0.00085,9.211876193438324e-06
0.00086,9.265905256100912e-06
0.00087,9.319621098888156e-06
0.00088,9.373029106891969e-06
0.00089,9.42613451264339e-06
0.0009,9.478942402095796e-06
0.00091,9.531457720309753e-06
0.00092,9.583685276857496e-06
0.00093,9.635629750963759e-06
0.00094,9.68729569639849e-06
0.00095,9.738687546135951e-06
0.00096,9.789809616793692e-06
0.00097,9.840666112863956e-06
0.00098,9.891261130749295e-06
0.00099,9.9415986626133e-06
0.001,9.991682600056777e-06
0.00101,1.004151673762884e-05
0.00102,1.0091104776181985e-05
0.00103,1.014045032607949e-05
0.00104,1.0189556910262999e-05
